Player1,Player2,Rank_diff,Sets_Won_diff,Games_Won_diff,Aces_diff,DoubleFaults_diff,FirstServes_Won_diff,FirstServes_In_diff,SecondServes_Won_diff,SecondServes_In_diff,BreakPoints_Won_diff,BreakPoints_diff,ReturnPoints_Won_diff,ReturnPoints_Faced_diff,TotalPoints_Won_diff,FirstServes_ratio_diff,SecondServes_ratio_diff,BreakPoints_ratio_diff,ReturnPoints_ratio_diff,Court_Surface,Round_Description,datetime,year,month,day,Round_Description_clean,Player1_Rank,Player2_Rank,Player1_Rank_Grouped,Player2_Rank_Grouped,Player1Win
Alejandro Gonzalez,Adrian Menendez-Maceiras,75.0,-2,-7,-3.0,2.0,-8,-3,-1,2,-4.0,-1.0,-8.0,1.0,-17,-0.22004608294930877,-0.07954545454545453,-0.33636363636363636,-0.16255442670537013,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,270.0,195.0,"(250.0, 275.0]","(175.0, 200.0]",0
Amir Weintraub,Marco Crugnola,-54.0,-2,-8,-1.0,-2.0,6,30,-3,-5,-4.0,-14.0,-22.0,-25.0,-19,-0.2840444184687317,-0.05555555555555558,0.6666666666666667,-0.20383036935704513,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,220.0,274.0,"(200.0, 225.0]","(250.0, 275.0]",0
Sergei Bubka,Andre Begemann,-75.0,2,3,1.0,-6.0,-8,-13,2,-5,1.0,10.0,12.0,18.0,6,0.02145593869731799,0.11827956989247312,-0.6923076923076923,0.05207166853303469,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,152.0,227.0,"(150.0, 175.0]","(225.0, 250.0]",1
Denys Molchanov,Andrew Harris,-229.0,2,7,3.0,1.0,12,1,-5,-5,3.0,8.0,11.0,4.0,18,0.30369843527738266,-0.07444168734491319,-0.09999999999999998,0.14246323529411764,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,267.0,496.0,"(250.0, 275.0]","(475.0, 500.0]",1
Bjorn Phau,Arnaud Clement,17.0,2,6,-1.0,-3.0,6,0,4,7,3.0,1.0,3.0,-7.0,13,0.15384615384615385,0.04139433551198257,0.24545454545454543,0.09194686591946866,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,174.0,157.0,"(150.0, 175.0]","(150.0, 175.0]",1
Axel Michon,Igor Sijsling,66.0,-2,-5,-3.0,-1.0,-4,6,-3,-8,-3.0,-5.0,-5.0,2.0,-12,-0.22352941176470587,0.06823529411764706,-0.0714285714285714,-0.09842402616711265,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,262.0,196.0,"(250.0, 275.0]","(175.0, 200.0]",0
Chris Guccione,Rainer Schuettler,132.0,-2,-2,7.0,-5.0,0,-3,-7,-6,-0.0,-0.0,2.0,9.0,-5,0.05062794348508637,-0.11724137931034478,-0.0,-0.004862953138815185,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,263.0,131.0,"(250.0, 275.0]","(125.0, 150.0]",0
Stephane Bohli,Conor Niland,-80.0,2,7,3.0,-8.0,-7,-23,7,-2,3.0,9.0,25.0,25.0,25,0.25886524822695034,0.34848484848484845,0.0,0.26791181873851805,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,206.0,286.0,"(200.0, 225.0]","(275.0, 300.0]",1
Daniel Brands,Danai Udomchoke,-89.0,-1,-6,-1.0,2.0,-4,4,0,7,-5.0,-8.0,-15.0,-11.0,-19,-0.11587057010785828,-0.10714285714285715,-0.16666666666666669,-0.11868751602153294,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,112.0,201.0,"(100.0, 125.0]","(200.0, 225.0]",0
David Goffin,Daniel Munoz de la Nava,29.0,1,7,3.0,2.0,5,0,2,-8,3.0,6.0,15.0,8.0,22,0.09090909090909094,0.1904761904761904,0.15000000000000002,0.13729643850125778,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,168.0,139.0,"(150.0, 175.0]","(125.0, 150.0]",1
Grega Zemlja,Denis Gremelmayr,-60.0,1,-1,9.0,4.0,2,-9,-11,-9,-1.0,7.0,9.0,18.0,0,0.1168399168399169,-0.12650085763293306,-0.3571428571428571,0.018854294589323084,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,110.0,170.0,"(100.0, 125.0]","(150.0, 175.0]",1
Denis Matsukevich,Radu Albot,-3.0,-2,-10,-2.0,-0.0,-17,-8,-2,1,-5.0,-7.0,-12.0,7.0,-31,-0.40952380952380957,-0.2638888888888889,0.25,-0.396640826873385,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,279.0,282.0,"(275.0, 300.0]","(275.0, 300.0]",0
Dominik Meffert,Peter Luczak,-109.0,-2,-4,2.0,3.0,4,6,-5,1,-1.0,-6.0,-8.0,-7.0,-9,0.004151530877010923,-0.19708994708994704,0.24999999999999994,-0.06823529411764706,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,171.0,280.0,"(150.0, 175.0]","(275.0, 300.0]",0
Matteo Viola,Dusan Lajovic,-33.0,1,5,1.0,3.0,11,8,0,1,2.0,0.0,2.0,-9.0,13,0.08218933856302368,-0.008672699849170462,0.125,0.048492053560255266,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,153.0,186.0,"(150.0, 175.0]","(175.0, 200.0]",1
Maxime Teixeira,Dusan Lojda,-38.0,2,4,4.0,,-1,-12,1,-1,2.0,5.0,13.0,13.0,13,0.1597222222222222,0.06709956709956705,-0.09999999999999998,0.11729323308270678,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,162.0,200.0,"(150.0, 175.0]","(175.0, 200.0]",1
Dustin Brown,Thiemo de Bakker,-51.0,-1,-1,7.0,1.0,-4,-5,0,5,-0.0,2.0,-4.0,-0.0,-8,-0.0031295137217139946,-0.07722007722007729,-0.16666666666666669,-0.038461538461538436,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,160.0,211.0,"(150.0, 175.0]","(200.0, 225.0]",0
Andrey Golubev,Erik Chvojka,-122.0,1,4,5.0,-2.0,1,-6,5,8,2.0,5.0,4.0,-2.0,10,0.1070234113712375,0.015873015873015817,-0.07142857142857145,0.058759181122050363,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,146.0,268.0,"(125.0, 150.0]","(250.0, 275.0]",1
Evgeny Donskoy,Joao Sousa,-47.0,-2,-5,-0.0,-1.0,8,13,-8,8,-3.0,-15.0,-21.0,-21.0,-21,-0.03452380952380951,-0.5833333333333334,0.75,-0.2173202614379085,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,144.0,191.0,"(125.0, 150.0]","(175.0, 200.0]",0
Ricardas Berankis,Fabrice Martin,-127.0,2,4,0.0,3.0,1,-13,-2,-4,2.0,6.0,16.0,17.0,15,0.3226600985221675,0.025000000000000022,0.3333333333333333,0.20037105751391468,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,132.0,259.0,"(125.0, 150.0]","(250.0, 275.0]",1
