Player,Rank,Sets_Won,Games_Won,Aces,DoubleFaults,FirstServes_Won,FirstServes_In,SecondServes_Won,SecondServes_In,BreakPoints_Won,BreakPoints,ReturnPoints_Won,ReturnPoints_Faced,TotalPoints_Won,won_game?,FirstServes_ratio,SecondServes_ratio,BreakPoints_ratio,ReturnPoints_ratio,datetime,year,Tournament,Round_Description,Court_Surface,Total_Serves,Aces%,ServesWon%
Edouard Roger-Vasselin,106.0,2.0,12,5.0,2.0,22.0,30.0,12.0,19.0,4.0,7.0,25.0,59.0,59,1,0.7333333333333333,0.631578947368421,0.5714285714285714,0.423728813559322,2012-01-02,2012,Chennai,First Round,Hard,49.0,0.10204081632653061,0.6938775510204082
Dudi Sela,83.0,2.0,12,2.0,0.0,14.0,17.0,11.0,16.0,6.0,14.0,36.0,58.0,61,1,0.8235294117647058,0.6875,0.42857142857142855,0.6206896551724138,2012-01-02,2012,Chennai,First Round,Hard,33.0,0.06060606060606061,0.7575757575757576
Go Soeda,120.0,2.0,19,6.0,1.0,48.0,64.0,19.0,39.0,5.0,11.0,42.0,105.0,109,1,0.75,0.48717948717948717,0.45454545454545453,0.4,2012-01-02,2012,Chennai,First Round,Hard,103.0,0.05825242718446602,0.6504854368932039
Yuki Bhambri,345.0,2.0,12,1.0,2.0,22.0,29.0,9.0,17.0,5.0,13.0,34.0,62.0,65,1,0.7586206896551724,0.5294117647058824,0.38461538461538464,0.5483870967741935,2012-01-02,2012,Chennai,First Round,Hard,46.0,0.021739130434782608,0.6739130434782609
Yuichi Sugita,235.0,2.0,12,3.0,1.0,37.0,51.0,11.0,27.0,3.0,7.0,22.0,54.0,70,1,0.7254901960784313,0.4074074074074074,0.42857142857142855,0.4074074074074074,2012-01-02,2012,Chennai,First Round,Hard,78.0,0.038461538461538464,0.6153846153846154
Benoit Paire,95.0,2.0,12,8.0,2.0,24.0,25.0,11.0,19.0,4.0,8.0,27.0,52.0,62,1,0.96,0.5789473684210527,0.5,0.5192307692307693,2012-01-02,2012,Chennai,First Round,Hard,44.0,0.18181818181818182,0.7954545454545454
Victor Hanescu,90.0,2.0,12,3.0,0.0,29.0,39.0,11.0,18.0,3.0,4.0,29.0,65.0,69,1,0.7435897435897436,0.6111111111111112,0.75,0.4461538461538462,2012-01-02,2012,Chennai,First Round,Hard,57.0,0.05263157894736842,0.7017543859649122
Yen-Hsun Lu,82.0,2.0,12,1.0,3.0,29.0,36.0,9.0,21.0,4.0,6.0,26.0,56.0,64,1,0.8055555555555556,0.42857142857142855,0.6666666666666666,0.4642857142857143,2012-01-02,2012,Chennai,First Round,Hard,57.0,0.017543859649122806,0.6666666666666666
Andreas Beck,98.0,2.0,13,0.0,4.0,33.0,47.0,17.0,27.0,3.0,6.0,40.0,95.0,90,1,0.7021276595744681,0.6296296296296297,0.5,0.42105263157894735,2012-01-02,2012,Chennai,First Round,Hard,74.0,0.0,0.6756756756756757
Ivan Dodig,36.0,2.0,17,8.0,2.0,47.0,65.0,20.0,36.0,3.0,3.0,32.0,86.0,99,1,0.7230769230769231,0.5555555555555556,1.0,0.37209302325581395,2012-01-02,2012,Chennai,First Round,Hard,101.0,0.07920792079207921,0.6633663366336634
