Player,Rank,Sets_Won,Games_Won,Aces,DoubleFaults,FirstServes_Won,FirstServes_In,SecondServes_Won,SecondServes_In,BreakPoints_Won,BreakPoints,ReturnPoints_Won,ReturnPoints_Faced,TotalPoints_Won,won_game?,FirstServes_ratio,SecondServes_ratio,BreakPoints_ratio,ReturnPoints_ratio,datetime,year,Tournament,Round_Description,Court_Surface,Total_Serves,Aces%,ServesWon%
Johanna Larsson,84.0,2.0,13,6.0,0.0,31.0,49.0,7.0,13.0,6.0,9.0,36.0,65.0,74.0,1,0.6326530612244898,0.5384615384615384,0.6666666666666666,0.5538461538461539,2014-01-01,2014,Auckland,First Round,Hard,62.0,0.0967741935483871,0.6129032258064516
Ana Konjuh,259.0,2.0,15,3.0,10.0,23.0,32.0,15.0,36.0,7.0,14.0,44.0,88.0,82.0,1,0.71875,0.4166666666666667,0.5,0.5,2014-01-01,2014,Auckland,First Round,Hard,68.0,0.04411764705882353,0.5588235294117647
Ayumi Morita,60.0,2.0,13,3.0,2.0,33.0,46.0,9.0,22.0,4.0,4.0,31.0,64.0,73.0,1,0.717391304347826,0.4090909090909091,1.0,0.484375,2014-01-01,2014,Auckland,First Round,Hard,68.0,0.04411764705882353,0.6176470588235294
Venus Williams,47.0,2.0,13,4.0,7.0,38.0,52.0,14.0,30.0,3.0,5.0,27.0,62.0,79.0,1,0.7307692307692307,0.4666666666666667,0.6,0.43548387096774194,2014-01-01,2014,Auckland,First Round,Hard,82.0,0.04878048780487805,0.6341463414634146
Julia Goerges,72.0,2.0,18,2.0,4.0,45.0,56.0,29.0,46.0,1.0,9.0,46.0,128.0,120.0,1,0.8035714285714286,0.6304347826086957,0.1111111111111111,0.359375,2014-01-01,2014,Auckland,First Round,Hard,102.0,0.0196078431372549,0.7254901960784313
Lauren Davis,70.0,2.0,12,1.0,5.0,24.0,38.0,15.0,25.0,4.0,7.0,25.0,50.0,64.0,1,0.631578947368421,0.6,0.5714285714285714,0.5,2014-01-01,2014,Auckland,First Round,Hard,63.0,0.015873015873015872,0.6190476190476191
Jamie Hampton,28.0,2.0,13,5.0,4.0,32.0,50.0,19.0,37.0,5.0,5.0,27.0,58.0,78.0,1,0.64,0.5135135135135135,1.0,0.46551724137931033,2014-01-01,2014,Auckland,First Round,Hard,87.0,0.05747126436781609,0.5862068965517241
Kristyna Pliskova,130.0,2.0,13,10.0,0.0,22.0,28.0,13.0,24.0,5.0,6.0,26.0,51.0,61.0,1,0.7857142857142857,0.5416666666666666,0.8333333333333334,0.5098039215686274,2014-01-01,2014,Auckland,First Round,Hard,52.0,0.19230769230769232,0.6730769230769231
Sharon Fichman,116.0,2.0,12,0.0,3.0,30.0,37.0,7.0,18.0,4.0,5.0,20.0,43.0,57.0,1,0.8108108108108109,0.3888888888888889,0.8,0.46511627906976744,2014-01-01,2014,Auckland,First Round,Hard,55.0,0.0,0.6727272727272727
Kurumi Nara,81.0,2.0,10,1.0,2.0,20.0,33.0,10.0,16.0,5.0,10.0,24.0,37.0,54.0,1,0.6060606060606061,0.625,0.5,0.6486486486486487,2014-01-01,2014,Auckland,First Round,Hard,49.0,0.02040816326530612,0.6122448979591837
Garbine Muguruza,63.0,2.0,12,3.0,5.0,20.0,30.0,18.0,30.0,4.0,8.0,30.0,63.0,68.0,1,0.6666666666666666,0.6,0.5,0.47619047619047616,2014-01-01,2014,Auckland,First Round,Hard,60.0,0.05,0.6333333333333333
Karolina Pliskova,71.0,2.0,13,8.0,1.0,28.0,38.0,11.0,20.0,4.0,8.0,28.0,64.0,67.0,1,0.7368421052631579,0.55,0.5,0.4375,2014-01-01,2014,Auckland,First Round,Hard,58.0,0.13793103448275862,0.6724137931034483
Yvonne Meusburger,49.0,2.0,12,0.0,2.0,27.0,39.0,7.0,14.0,5.0,14.0,34.0,67.0,68.0,1,0.6923076923076923,0.5,0.35714285714285715,0.5074626865671642,2014-01-01,2014,Auckland,First Round,Hard,53.0,0.0,0.6415094339622641
Ana Ivanovic,16.0,2.0,14,4.0,4.0,36.0,55.0,16.0,31.0,4.0,10.0,41.0,87.0,93.0,1,0.6545454545454545,0.5161290322580645,0.4,0.47126436781609193,2014-01-01,2014,Auckland,First Round,Hard,86.0,0.046511627906976744,0.6046511627906976
Kirsten Flipkens,20.0,2.0,13,8.0,6.0,24.0,35.0,16.0,37.0,6.0,10.0,43.0,87.0,83.0,1,0.6857142857142857,0.43243243243243246,0.6,0.4942528735632184,2014-01-01,2014,Auckland,First Round,Hard,72.0,0.1111111111111111,0.5555555555555556
Sachie Ishizu,204.0,2.0,13,1.0,3.0,33.0,48.0,10.0,23.0,3.0,4.0,27.0,71.0,70.0,1,0.6875,0.43478260869565216,0.75,0.38028169014084506,2014-01-01,2014,Auckland,First Round,Hard,71.0,0.014084507042253521,0.6056338028169014
Venus Williams,47.0,2.0,16,11.0,8.0,34.0,45.0,22.0,42.0,5.0,11.0,37.0,75.0,93.0,1,0.7555555555555555,0.5238095238095238,0.45454545454545453,0.49333333333333335,2014-01-01,2014,Auckland,Second Round,Hard,87.0,0.12643678160919541,0.6436781609195402
Ana Ivanovic,16.0,2.0,12,1.0,1.0,24.0,31.0,6.0,10.0,5.0,8.0,21.0,37.0,51.0,1,0.7741935483870968,0.6,0.625,0.5675675675675675,2014-01-01,2014,Auckland,Second Round,Hard,41.0,0.024390243902439025,0.7317073170731707
Kurumi Nara,81.0,2.0,12,2.0,0.0,27.0,38.0,6.0,11.0,5.0,9.0,22.0,34.0,55.0,1,0.7105263157894737,0.5454545454545454,0.5555555555555556,0.6470588235294118,2014-01-01,2014,Auckland,Second Round,Hard,49.0,0.04081632653061224,0.673469387755102
Garbine Muguruza,63.0,2.0,13,1.0,2.0,40.0,61.0,14.0,35.0,4.0,6.0,33.0,77.0,87.0,1,0.6557377049180327,0.4,0.6666666666666666,0.42857142857142855,2014-01-01,2014,Auckland,Second Round,Hard,96.0,0.010416666666666666,0.5625
Sachie Ishizu,204.0,2.0,16,3.0,7.0,42.0,71.0,20.0,39.0,6.0,15.0,43.0,97.0,105.0,1,0.5915492957746479,0.5128205128205128,0.4,0.44329896907216493,2014-01-01,2014,Auckland,Second Round,Hard,110.0,0.02727272727272727,0.5636363636363636
Kirsten Flipkens,20.0,2.0,12,3.0,4.0,27.0,41.0,16.0,28.0,4.0,13.0,29.0,61.0,72.0,1,0.6585365853658537,0.5714285714285714,0.3076923076923077,0.47540983606557374,2014-01-01,2014,Auckland,Second Round,Hard,69.0,0.043478260869565216,0.6231884057971014
Jamie Hampton,28.0,2.0,12,4.0,2.0,26.0,31.0,13.0,24.0,3.0,7.0,28.0,59.0,67.0,1,0.8387096774193549,0.5416666666666666,0.42857142857142855,0.4745762711864407,2014-01-01,2014,Auckland,Second Round,Hard,55.0,0.07272727272727272,0.7090909090909091
Lauren Davis,70.0,2.0,14,0.0,1.0,31.0,47.0,16.0,36.0,6.0,16.0,45.0,92.0,92.0,1,0.6595744680851063,0.4444444444444444,0.375,0.4891304347826087,2014-01-01,2014,Auckland,Second Round,Hard,83.0,0.0,0.5662650602409639
Ana Ivanovic,16.0,2.0,12,4.0,1.0,31.0,41.0,7.0,16.0,4.0,10.0,31.0,62.0,69.0,1,0.7560975609756098,0.4375,0.4,0.5,2014-01-01,2014,Auckland,Quarter-finals,Hard,57.0,0.07017543859649122,0.6666666666666666
Kirsten Flipkens,20.0,2.0,13,4.0,3.0,21.0,34.0,15.0,27.0,6.0,16.0,39.0,79.0,75.0,1,0.6176470588235294,0.5555555555555556,0.375,0.4936708860759494,2014-01-01,2014,Auckland,Quarter-finals,Hard,61.0,0.06557377049180328,0.5901639344262295
Venus Williams,47.0,2.0,12,3.0,1.0,20.0,27.0,16.0,29.0,5.0,7.0,29.0,57.0,65.0,1,0.7407407407407407,0.5517241379310345,0.7142857142857143,0.5087719298245614,2014-01-01,2014,Auckland,Quarter-finals,Hard,56.0,0.05357142857142857,0.6428571428571429
Jamie Hampton,28.0,2.0,16,3.0,6.0,39.0,58.0,18.0,45.0,7.0,15.0,45.0,91.0,102.0,1,0.6724137931034483,0.4,0.4666666666666667,0.4945054945054945,2014-01-01,2014,Auckland,Quarter-finals,Hard,103.0,0.02912621359223301,0.5533980582524272
